"id","extralabel","name","latitude","longitude","Netherlands"
"NLSDM","Station","Schiedam Centrum","51.9217","4.4104","Netherlands"
"NLSDMGA","SmallStation","Schiedam Goederen aansl.","51.9255","4.401","Netherlands"
"NLSDT","SmallStation","Sliedrecht","51.8296","4.7783","Netherlands"
"NLSGN","Station","Schagen","52.7856","4.8052","Netherlands"
"NLSGRA","FreightTerminal","Singelgracht aansl.","52.3868","4.8806","Netherlands"
"NLSHL","Station","Schiphol Airport","52.309","4.7615","Netherlands"
"NLSK","SmallStation","Sneek","53.0326","5.6518","Netherlands"
"NLSKND","SmallStation","Sneek Noord","53.0399","5.6627","Netherlands"
"NLSLOE","FreightTerminal","Sloehaven empl","51.4521","3.7408","Netherlands"
"NLSM","SmallStation","Swalmen","51.2352","6.0312","Netherlands"
"NLSOG","Station","Schin op Geul","50.856","5.8716","Netherlands"
"NLSPTN","SmallStation","Santpoort Noord","52.4338","4.6325","Netherlands"
"NLSRN","SmallStation","Susteren","51.0607","5.8628","Netherlands"
"NLST","SmallStation","Soest","52.1734","5.3101","Netherlands"
"NLSTB","Switch","Swifterbant","52.5479","5.5564","Netherlands"
"NLSTD","Station","Sittard","51.0023","5.8591","Netherlands"
"NLSTM","SmallStation","Stedum","53.3266","6.6886","Netherlands"
"NLSTO","Switch","Stroe","52.1879","5.6912","Netherlands"
"NLSTV","SmallStation","Stavoren","52.8867","5.3604","Netherlands"
"NLSWD","SmallStation","Sauwerd","53.2908","6.5404","Netherlands"
"NLSWK","SmallStation","Steenwijk","52.7918","6.1128","Netherlands"
"NLTB","Station","Tilburg","51.5607","5.0834","Netherlands"
"NLTBG","SmallStation","Terborg","51.9226","6.3642","Netherlands"
"NLTBU","Station","Tilburg Universiteit","51.5652","5.0505","Netherlands"
"NLTG","SmallStation","Tegelen","51.3383","6.1414","Netherlands"
"NLTNZ","FreightTerminal","Terneuzen","51.3326","3.8246","Netherlands"
"NLUHM","SmallStation","Uithuizermeeden","53.4139","6.7203","Netherlands"
"NLUST","SmallStation","Usquert","53.401","6.6092","Netherlands"
"NLUTG","Station","Uitgeest","52.5222","4.7013","Netherlands"
"NLUTM","SmallStation","Utrecht Maliebaan","52.0855","5.1304","Netherlands"
"NLUTZA","Junction","Utrecht Zuid aansluiting","52.073","5.1368","Netherlands"
"NLVA","Junction","Velperbroek aansl.","51.9837","5.9257","Netherlands"
"NLVAMA","PrivateSiding","VAM aansl. - bij Wijster","52.7707","6.4908","Netherlands"
"NLVD","SmallStation","Vorden","52.1073","6.3176","Netherlands"
"NLVDM","SmallStation","Veendam","53.1051","6.8866","Netherlands"
"NLVDMA","PrivateSiding","Veendam Aansluiting","53.1398","6.8904","Netherlands"
"NLVGA","Junction","Vught Aansluiting","51.6626","5.2908","Netherlands"
"NLVHP","SmallStation","Vroomshoop","52.4571","6.5697","Netherlands"
"NLVK","Station","Valkenburg","50.8693","5.8329","Netherlands"
